AT001ALB00001,Albania,ZPA_SAR_F01_01,Rozafa,Rozafa shpk,"Njesia bashkiake Nr. 2. Rruga Luigj Gurakuqi, Pall. 89.",Rozafa shpk,"Njesia bashkiake Nr. 2. Rruga Luigj Gurakuqi, Pall. 89.","39°57'59.57""N 19°52'0.19""E - 39°58'16.25""N 19°52'49.27""E - 39°56'20.97""N 19°53'47.91""E - 39°56'02.59""N 19°52'59.32""E",500
AT001DZA00001,Algerie,DZA FARM 01-24,SOUFI TUNA,SARL SOUFI FISH,"SIDI AMER, BAB ERIH, Numéro 22, Ghazaouet, Tlemcen, Algérie",SARL SOUFI FISH,"SIDI AMER, BAB ERIH, Numéro 22, Ghazaouet, Tlemcen, Algérie",HUNAIN Tlemcen HUNAIN Tlemcen A: 35°11'16.46''N 1°42'53.22''O B: 35°11'3.51''N 1°42'41.65''O C: 35°11'32.31''N 1°42'29.20''O D: 35°11'19.31''N 1°42'17.97''O,950
ATEU1HRV00012,EU-Croatia,220,KALI TUNA D.O.O.,KALI TUNA D.O.O.,"PUT VELE LUKE 70, 23272 KALI, CROATIA",KALI TUNA D.O.O.,"PUT VELE LUKE 70, 23272 KALI, CROATIA",MRÐINA LAVDARA: FIELD 3 and FIELD 4; ZVERINAC: FIELD A and FIELD B FULIJA I KUDICA,1516.9
ATEU1HRV00011,EU-Croatia,138,PELAGOS NET FARMA D.O.O.,PELAGOS NET FARMA D.O.O.,"GAŽENICKA CESTA 28B, 23000 ZADAR, CROATIA",PELAGOS NET FARMA D.O.O.,"GAŽENICKA CESTA 28B, 23000 ZADAR, CROATIA","N 4866849.37, 4866572.13, 4866813.19, 4867090.43, 4866779.47, 4866538.41 E 400922.29, 401608.4, 401705.8, 401019.7, 401789.25, 401691.84",1827
ATEU1HRV00006,EU-Croatia,86,SARDINA D.O.O.,SARDINA D.O.O,"GAŽENICKA CESTA 28B, 23000 ZADAR, CROATIA",SARDINA D.O.O.,"GAŽENICKA CESTA 28B, 23000 ZADAR, CROATIA","N 4794270.00, 4794448.06, 4794112.87, 4793934.81 E 498240.35, 498429.80, 498744.84, 498555.39",1854.9
ATEU1HRV00008,EU-Croatia,139,JADRAN TUNA d.o.o,JADRAN TUNA D.O.O,"VUKOVARSKA 86, BIOGRAD N/M, CROATIA",JADRAN TUNA D.O.O.,"VUKOVARSKA 86, BIOGRAD N/M, CROATIA",NE OD OTOKA GIRA: FIELD GIRA 1 AND FIELD GIRA 2,1893.04
ATEU1CYP00002,EU-Cyprus,014,Kitiana Fisheries Ltd.,KITIANA FISHERIES LTD.,"P.O. BOX 55576, 3781 LIMASSOL, CYPRUS",KITIANA FISHERIES LTD.,"P.O. BOX 55576, 3781 LIMASSOL, CYPRUS","SOUTH COAST OF CYPRUS (VASILIKO). COORDINATES 33° 14' 95"" E; 34° 41' 09"" N.",0
ATEU1CYP00003,EU-Cyprus,015,Oceanis Aquaculture Ltd,OCEANIS AQUACULTURE LTD,"P.O. BOX 55576, 3781 LIMASSOL, CYPRUS",OCEANIS AQUACULTURE LTD,"P.O. BOX 55576, 3781 LIMASSOL, CYPRUS","SOUTH COAST OF CYPRUS (VASILIKO). COORDINATES 33° 16' 03"" E; 34° 40' 79"" N.",0
ATEU1CYP00001,EU-Cyprus,07,KIMAGRO FISHFARMING LTD,KIMAGRO FISHFARMING LTD,"P.O. BOX 55576, 3781 LIMASSOL, CYPRUS",KIMAGRO FISHFARMING LTD,"P.O. BOX 55576, 3781 LIMASSOL, CYPRUS","SOUTH COAST OF CYPRUS, (LIMASSOL). COORDINATES: 33° 02´ 40"" E 34° 38´ 49"" N",0
ATEU1ESP00001,EU-España,ICAR 01,TUNA GRASO,TUNA GRASO S.A.,"CTRA. DE LA PALMA, KM 7. PARAJE LA ESTRELLA, 30.593 CARTAGENA",TUNA GRASO S.A.,"CTRA. DE LA PALMA, KM 7. PARAJE LA ESTRELLA, 30.593 CARTAGENA","LATITUD: N 37º45,95' LONGITUD: W 00º39,49'",2100
