,geographic_identifier,year,species,measurement_value
18,6100000,1965,BET,5040.0
19,6100000,1965,YFT,34250.0
20,6100000,1966,BET,196.0
21,6100000,1966,YFT,750.0
22,6100000,1967,BET,2853.0
23,6100000,1967,YFT,17038.0
24,6100000,1968,BET,2472.0
25,6100000,1968,YFT,5931.0
26,6100000,1969,BET,1207.0
27,6100000,1969,YFT,7631.0
28,6100000,1970,BET,487.0
29,6100000,1970,YFT,2152.0
30,6100000,1971,BET,1624.0
31,6100000,1971,YFT,5396.0
32,6100000,1972,BET,8248.0
33,6100000,1972,YFT,31164.0
34,6100000,1973,BET,1259.0
35,6100000,1973,YFT,7438.0
36,6100000,1977,BET,221.0
37,6100000,1977,YFT,687.0
38,6100000,1978,BET,368.0
39,6100000,1978,YFT,265.0
40,6100000,1979,BET,2343.0
41,6100000,1979,BFT,11.0
42,6100000,1979,YFT,3687.0
43,6100000,1980,BET,824.0
44,6100000,1980,YFT,2066.0
45,6100000,1981,BET,399.0
46,6100000,1981,YFT,543.0
47,6100000,1982,BET,436.0
48,6100000,1982,YFT,336.0
49,6100000,1983,BET,4710.0
50,6100000,1983,YFT,1638.0
51,6100000,1984,BET,6243.0
52,6100000,1984,YFT,2065.0
53,6100000,1985,BET,14419.0
54,6100000,1985,YFT,9534.0
55,6100000,1986,BET,112.0
56,6100000,1986,YFT,866.0
57,6100000,1987,BET,382.0
58,6100000,1987,YFT,92.0
59,6100000,1988,BET,4727.0
60,6100000,1988,YFT,1127.0
61,6100000,1989,BET,10475.0
62,6100000,1989,YFT,1382.0
63,6100000,1990,BET,3597.0
64,6100000,1990,YFT,739.0
65,6100000,1991,BET,2183.0
66,6100000,1991,YFT,686.0
67,6100000,1992,BET,825.0
68,6100000,1992,YFT,109.0
69,6100000,1993,BET,1047.0
70,6100000,1993,YFT,180.0
71,6100000,1994,BET,7815.0
72,6100000,1994,YFT,2966.0
73,6100000,1995,BET,2156.0
74,6100000,1995,YFT,756.0
75,6100000,1996,BET,929.0
76,6100000,1996,YFT,286.0
77,6100000,1997,BET,613.0
78,6100000,1997,YFT,119.0
79,6100000,1998,BET,837.0
80,6100000,1998,YFT,482.0
81,6100000,1999,BET,181.0
82,6100000,1999,YFT,103.0
83,6100000,2000,BET,636.0
84,6100000,2000,YFT,113.0
85,6100000,2001,BET,8.0
86,6100000,2001,YFT,20.0
87,6100000,2002,BET,754.0
88,6100000,2002,YFT,1895.0
89,6100000,2003,BET,75.0
90,6100000,2003,YFT,144.0
91,6100000,2004,BET,887.0
92,6100000,2004,YFT,474.0
93,6100000,2005,BET,1565.0
94,6100000,2005,YFT,94.0
95,6100000,2006,BET,2423.0
96,6100000,2006,YFT,2263.0
97,6100000,2007,BET,1053.0
98,6100000,2007,YFT,7745.0
99,6100000,2008,BET,676.0
100,6100000,2008,YFT,3378.0
101,6100000,2009,BET,869.0
102,6100000,2009,YFT,2149.0
103,6100000,2010,BET,239.0
104,6100000,2010,YFT,121.0
105,6100000,2011,BET,622.0
106,6100000,2011,YFT,2263.0
107,6100000,2012,BET,473.0
108,6100000,2012,YFT,973.0
109,6100000,2013,BET,191.0
110,6100000,2013,YFT,332.0
111,6100000,2014,BET,60.0
112,6100000,2014,YFT,9.0
113,6100000,2015,BET,65.0
114,6100000,2015,YFT,65.0
115,6100000,2016,BET,94.0
116,6100000,2016,YFT,37.0
