,geographic_identifier,year,species,measurement_value
41,6100000,1979,BFT,11.0
13024,6130010,1975,BFT,1.0
13025,6130010,1976,BFT,453.0
13026,6130010,1977,BFT,795.0
13027,6130010,1978,BFT,498.0
13028,6130010,1984,BFT,63.0
13029,6130010,1985,BFT,83.0
13030,6130010,1988,BFT,11.0
13031,6130010,1990,BFT,6.0
13032,6130010,1991,BFT,13.0
13033,6130010,1992,BFT,5.0
13034,6130010,1993,BFT,227.0
13035,6130010,1994,BFT,173.0
13037,6130010,1995,BFT,719.0
13038,6130010,1996,BFT,350.0
13039,6130010,1997,BFT,35.0
13040,6130010,1998,BFT,1185.0
13041,6130010,1999,BFT,2481.0
13042,6130010,2000,BFT,1074.0
13043,6130010,2001,BFT,19741.0
13044,6130010,2002,BFT,559.0
13045,6130010,2003,BFT,317.0
13046,6130010,2004,BFT,202.0
13047,6130015,1975,BFT,1.0
13048,6130015,1976,BFT,56.0
13049,6130015,1984,BFT,176.0
13050,6130015,1985,BFT,246.0
13051,6130015,1987,BFT,147.0
13052,6130015,1988,BFT,203.0
13053,6130015,1989,BFT,2.0
13054,6130015,1990,BFT,1.0
13055,6130015,1992,BFT,10.0
13056,6130015,1993,BFT,374.0
13057,6130015,1994,BFT,1068.0
13059,6130015,1995,BFT,1801.0
13060,6130015,1996,BFT,999.0
13061,6130015,1997,BFT,19.0
13062,6130015,1998,BFT,695.0
13063,6130015,1999,BFT,744.0
13064,6130015,2000,BFT,297.0
13065,6130015,2001,BFT,21.0
13066,6130015,2002,BFT,871.0
13067,6130015,2003,BFT,200.0
13068,6130015,2004,BFT,182.0
13069,6130020,1988,BFT,25.0
13070,6130020,1993,BFT,6.0
13071,6130020,1994,BFT,66.0
13072,6130020,1995,BFT,72.0
13073,6130020,1996,BFT,14.0
13074,6130020,1998,BFT,18.0
13075,6130020,1999,BFT,6.0
13076,6130020,2001,BFT,63.0
13077,6130030,1999,BFT,2415.0
13078,6130030,2000,BFT,193.0
13079,6130030,2001,BFT,25.0
14422,6135000,1972,BFT,39.0
14423,6135000,1973,BFT,110.0
14424,6135000,1974,BFT,3420.0
14425,6135000,1975,BFT,2822.0
14426,6135000,1976,BFT,1213.0
14428,6135000,1977,BFT,1173.0
14429,6135000,1978,BFT,212.0
14430,6135000,1979,BFT,214.0
