,geographic_identifier,year,species,measurement_value
0,6100000,1967,BET,24.6
1,6100000,1967,YFT,1111.8
2,6100000,1968,BET,100.10000000000001
3,6100000,1968,YFT,1168.795
4,6100000,1969,BET,115.5
5,6100000,1969,YFT,5335.79433
6,6100000,1970,BET,168.27185
7,6100000,1970,YFT,1294.36221
8,6100000,1971,BET,113.51437
9,6100000,1971,YFT,3818.96509
10,6100000,1972,BET,519.5
11,6100000,1972,YFT,6181.222229999999
12,6100000,1973,BET,238.01616
13,6100000,1973,YFT,7185.44327
14,6100000,1974,BET,194.68558000000002
15,6100000,1974,YFT,6699.0169
16,6100000,1975,BET,783.74044
17,6100000,1975,YFT,5050.44107
18,6100000,1976,BET,2426.30306
19,6100000,1976,YFT,4792.93518
20,6100000,1977,BET,1915.6382
21,6100000,1977,BFT,5.8
22,6100000,1977,YFT,7943.98424
23,6100000,1978,BET,2372.71723
24,6100000,1978,YFT,3695.51261
25,6100000,1979,BET,2054.75867
26,6100000,1979,YFT,3024.256
27,6100000,1980,BET,1598.83835
28,6100000,1980,YFT,7337.41793
29,6100000,1981,BET,550.3396299999999
30,6100000,1981,YFT,7301.05523
31,6100000,1982,BET,267.56756
32,6100000,1982,YFT,6286.61295
33,6100000,1983,BET,346.70574
34,6100000,1983,YFT,6162.95141
35,6100000,1984,BET,1383.20038
36,6100000,1984,YFT,6188.38171
37,6100000,1985,BET,1462.47133
38,6100000,1985,YFT,8397.40279
39,6100000,1986,BET,1780.56471
40,6100000,1986,YFT,18039.3932
41,6100000,1987,BET,2949.36417
42,6100000,1987,YFT,13004.21752
43,6100000,1988,BET,780.82176
44,6100000,1988,YFT,8677.69875
45,6100000,1989,BET,793.2321400000001
46,6100000,1989,YFT,6540.24833
47,6100000,1990,BET,2711.39428
48,6100000,1990,YFT,8857.21587
49,6100000,1991,BET,1845.2782300000001
50,6100000,1991,YFT,6395.20236
51,6100000,1992,BET,1869.12784
52,6100000,1992,YFT,6525.3712
53,6100000,1993,BET,2384.84746
54,6100000,1993,YFT,10126.50694
55,6100000,1994,BET,3022.83568
56,6100000,1994,YFT,5910.35297
57,6100000,1995,BET,2595.5980999999997
58,6100000,1995,YFT,4667.31387
59,6100000,1996,BET,1906.382
60,6100000,1996,YFT,4212.808
61,6100000,1997,BET,1814.583
62,6100000,1997,YFT,3256.633
63,6100000,1998,BET,1692.264
64,6100000,1998,YFT,4858.641
65,6100000,1999,BET,1665.9599999999998
66,6100000,1999,YFT,4980.871
67,6100000,2000,BET,1448.413
68,6100000,2000,YFT,6248.09
69,6100000,2001,BET,2824.378
70,6100000,2001,YFT,12106.057
71,6100000,2002,BET,2225.603
72,6100000,2002,YFT,10540.555
73,6100000,2003,BET,2180.718
74,6100000,2003,YFT,7239.321
75,6100000,2004,BET,2796.6659999999997
76,6100000,2004,YFT,4192.228
77,6100000,2005,BET,785.4300000000001
78,6100000,2005,YFT,4951.081
79,6100000,2006,BET,865.394
80,6100000,2006,YFT,4736.092
81,6100000,2007,BET,648.9561
82,6100000,2007,YFT,1993.6733
83,6100000,2008,BET,816.608
84,6100000,2008,YFT,7126.298
85,6100000,2009,BET,1097.597
86,6100000,2009,YFT,4477.231
87,6100000,2010,BET,1265.7007
88,6100000,2010,YFT,6171.91
89,6100000,2011,BET,850.535
90,6100000,2011,YFT,5471.241
91,6100000,2012,BET,1825.37
92,6100000,2012,YFT,7119.768
93,6100000,2013,BET,1067.261
94,6100000,2013,YFT,6485.215
95,6100000,2014,BET,1403.692
96,6100000,2014,YFT,7313.591
97,6100000,2015,BET,684.727
98,6100000,2015,YFT,4928.339
99,6100000,2016,BET,1221.78867
100,6100000,2016,YFT,6893.1449999999995
101,6100000,2017,BET,688.937
102,6100000,2017,YFT,4014.1040000000003
103,6100000,2018,BET,983.39
104,6100000,2018,YFT,7177.812
105,6100000,2019,BET,2873.77172
106,6100000,2019,YFT,11117.40196
107,6100000,2020,BET,651.82032
108,6100000,2020,YFT,6139.205
109,6100000,2021,BET,471.298
110,6100000,2021,YFT,8147.722
111,6100000,2022,BET,2007.268
112,6100000,2022,YFT,13288.17402
113,6100000,2023,BET,302.91819
114,6100000,2023,YFT,3680.70005
115,6100005,1967,BET,21.4
116,6100005,1967,YFT,175.4
117,6100005,1968,BET,6.6000000000000005
118,6100005,1968,YFT,537.45701
119,6100005,1969,BET,225.6
120,6100005,1969,YFT,4187.80896
121,6100005,1970,BET,39.3
122,6100005,1970,YFT,1172.43752
123,6100005,1971,BET,3.3
124,6100005,1971,YFT,1514.73592
125,6100005,1972,BET,199.0
126,6100005,1972,YFT,7293.01032
127,6100005,1973,BET,72.49387999999999
128,6100005,1973,YFT,1684.53708
129,6100005,1974,BET,138.19321
130,6100005,1974,YFT,3103.29771
131,6100005,1975,BET,220.25057999999999
132,6100005,1975,YFT,2638.51307
133,6100005,1976,BET,132.85884
134,6100005,1976,YFT,2062.7852
135,6100005,1977,BET,141.47793000000001
136,6100005,1977,YFT,1343.76795
137,6100005,1978,BET,114.44302
138,6100005,1978,YFT,953.10315
139,6100005,1979,BET,298.55021
140,6100005,1979,YFT,4177.82203
141,6100005,1980,BET,731.97789
142,6100005,1980,YFT,6021.68631
143,6100005,1981,BET,289.62104
144,6100005,1981,YFT,2966.21015
145,6100005,1982,BET,488.00870000000003
146,6100005,1982,YFT,3224.9680000000003
147,6100005,1983,BET,464.93347
148,6100005,1983,YFT,4213.1544300000005
149,6100005,1984,BET,167.74275
150,6100005,1984,YFT,971.54372
151,6100005,1985,BET,265.51375
152,6100005,1985,YFT,4148.70153
153,6100005,1986,BET,1148.69056
154,6100005,1986,YFT,4724.27028
155,6100005,1987,BET,568.93444
156,6100005,1987,YFT,2142.01004
157,6100005,1988,BET,316.21262
158,6100005,1988,YFT,2785.93318
159,6100005,1989,BET,150.29999999999998
160,6100005,1989,YFT,987.92257
161,6100005,1990,BET,432.62498
162,6100005,1990,YFT,3328.42403
163,6100005,1991,BET,621.06431
164,6100005,1991,YFT,2789.61683
165,6100005,1992,BET,312.77946
166,6100005,1992,YFT,1967.01881
167,6100005,1993,BET,332.04121
168,6100005,1993,YFT,2124.12893
169,6100005,1994,BET,600.02899
170,6100005,1994,YFT,2946.10144
171,6100005,1995,BET,372.12575
172,6100005,1995,YFT,837.03893
173,6100005,1996,BET,145.94400000000002
174,6100005,1996,YFT,360.382
175,6100005,1997,BET,251.801
176,6100005,1997,YFT,860.8149999999999
177,6100005,1998,BET,172.167
178,6100005,1998,YFT,467.033
179,6100005,1999,BET,123.105
180,6100005,1999,YFT,496.79699999999997
181,6100005,2000,BET,114.838
182,6100005,2000,YFT,1043.651
183,6100005,2001,BET,206.414
184,6100005,2001,YFT,892.504
185,6100005,2002,BET,212.809
186,6100005,2002,YFT,3610.009
187,6100005,2003,BET,132.845
188,6100005,2003,YFT,819.08
189,6100005,2004,BET,291.616
190,6100005,2004,YFT,828.38
191,6100005,2005,BET,254.755
192,6100005,2005,YFT,1189.543
