,geographic_identifier,year,species,measurement_value
21,6100000,1977,BFT,5.8
12841,6130010,1976,BFT,35.2
12843,6130010,1977,BFT,75.0
12845,6130010,1978,BFT,38.7
12846,6130010,1994,BFT,12.9
12847,6130010,1995,BFT,3.4
12848,6130010,1997,BFT,42.896
12849,6130010,1999,BFT,129.645
12850,6130010,2000,BFT,180.064
12852,6130010,2001,BFT,2063.0280000000002
12853,6130010,2002,BFT,39.102
12854,6130010,2003,BFT,48.59
12855,6130010,2005,BFT,1383.7630000000001
12856,6130010,2007,BFT,2510.06063
12857,6130010,2008,BFT,2546.90594
12858,6130010,2009,BFT,1197.68308
12859,6130010,2010,BFT,1201.42813
12860,6130010,2011,BFT,873.06369
12861,6130010,2012,BFT,1280.819
12862,6130010,2013,BFT,805.7795899999999
12863,6130010,2014,BFT,428.41142
12864,6130010,2015,BFT,318.63293
12865,6130010,2016,BFT,2673.92072
12866,6130010,2017,BFT,977.77634
12867,6130010,2018,BFT,1097.0150800000001
12868,6130010,2019,BFT,1677.75325
12869,6130010,2020,BFT,2249.9156599999997
12870,6130010,2021,BFT,2228.04447
12871,6130010,2022,BFT,662.97567
12872,6130010,2023,BFT,1609.95404
12873,6130015,1994,BFT,198.1
12874,6130015,1995,BFT,224.7
12875,6130015,1996,BFT,25.1
12876,6130015,1997,BFT,43.247
12877,6130015,1999,BFT,1.189
12878,6130015,2000,BFT,25.577
12880,6130015,2001,BFT,358.299
12881,6130015,2002,BFT,544.405
12882,6130015,2003,BFT,395.926
12883,6130015,2004,BFT,30.445
12884,6130015,2005,BFT,12.047
12885,6130015,2006,BFT,0.972
12886,6130015,2007,BFT,2726.654
12887,6130015,2008,BFT,97.56974
12888,6130015,2009,BFT,152.0
12889,6130015,2012,BFT,145.076
12890,6130015,2018,BFT,576.8373700000001
12891,6130015,2019,BFT,416.07304
12892,6130015,2020,BFT,95.02232000000001
12893,6130015,2021,BFT,136.30595
12894,6130015,2022,BFT,90.00036
12895,6130015,2023,BFT,95.99996
12896,6130020,2001,BFT,1.94
12897,6130020,2007,BFT,150.0
12898,6130025,2000,BFT,60.821999999999996
12900,6130025,2002,BFT,91.352
12901,6130025,2003,BFT,78.925
12902,6130025,2004,BFT,104.70400000000001
12903,6130025,2005,BFT,148.81
12904,6130025,2006,BFT,109.90899999999999
12905,6130025,2008,BFT,132.316
12906,6130025,2009,BFT,2.178
12908,6130025,2010,BFT,2.8689999999999998
12909,6130030,1999,BFT,195.0
12910,6130030,2000,BFT,16.002
12911,6130030,2007,BFT,411.314
12912,6130030,2008,BFT,160.0
12913,6130030,2009,BFT,347.90099999999995
12914,6130030,2011,BFT,2.4875
12915,6130030,2012,BFT,365.16487
12916,6130030,2017,BFT,0.8089999999999999
12917,6130030,2018,BFT,1.981
12918,6130030,2019,BFT,15.971
12919,6130030,2020,BFT,2245.8910800000003
12920,6130030,2021,BFT,2563.3213
12921,6130030,2022,BFT,3.02666
12922,6130030,2023,BFT,0.8475
12925,6130035,2022,BFT,67.08
14386,6135000,1977,BFT,2.3
14388,6135000,1987,BFT,115.862
14389,6135000,1992,BFT,552.89
14390,6135000,1993,BFT,799.6
14391,6135000,1994,BFT,1157.1
14392,6135000,1995,BFT,1416.1999999999998
14393,6135000,1996,BFT,1287.6999999999998
14394,6135000,1997,BFT,1620.041
14395,6135000,1998,BFT,117.00000000000001
14396,6135000,1999,BFT,351.149
14397,6135000,2000,BFT,1744.421
14398,6135000,2001,BFT,450.236
14399,6135000,2002,BFT,482.962
14400,6135000,2003,BFT,386.19599999999997
14401,6135000,2004,BFT,313.544
14402,6135000,2005,BFT,2757.864
14403,6135000,2006,BFT,2285.0446
14404,6135000,2007,BFT,2544.589
14405,6135000,2008,BFT,1957.1480000000001
14406,6135000,2009,BFT,2528.5383500000003
14407,6135000,2010,BFT,1739.23386
14408,6135000,2011,BFT,1203.42193
14409,6135000,2012,BFT,550.6335
14410,6135000,2013,BFT,2037.979
14411,6135000,2014,BFT,1383.156
14412,6135000,2015,BFT,3.0410500000000003
14413,6135000,2016,BFT,2070.6893999999998
14414,6135000,2017,BFT,2579.7216000000003
14415,6135000,2018,BFT,3211.5616999999997
14416,6135000,2019,BFT,7159.84893
14417,6135000,2020,BFT,4553.68938
14418,6135000,2021,BFT,5796.85438
14419,6135000,2022,BFT,5487.68031
14421,6135000,2023,BFT,7972.453350000001
14422,6135005,1994,BFT,274.6
14423,6135005,1995,BFT,182.4
14424,6135005,1996,BFT,91.4
14425,6135005,1997,BFT,100.463
14426,6135005,2002,BFT,10.576
14427,6135005,2004,BFT,6.179
14428,6135005,2005,BFT,126.711
14429,6135005,2006,BFT,113.79728
14430,6135005,2007,BFT,415.81100000000004
14431,6135005,2008,BFT,577.67875
14432,6135005,2009,BFT,169.21545
14433,6135005,2010,BFT,281.3327
14434,6135005,2011,BFT,57.467220000000005
14435,6135005,2012,BFT,10.453
14436,6135005,2015,BFT,370.25799
14437,6135005,2019,BFT,0.199
14438,6135005,2020,BFT,1.66
14446,6135010,1965,BFT,263.8
14447,6135010,1966,BFT,202.5
14448,6135010,1967,BFT,365.3
14449,6135010,1968,BFT,16.8
14450,6135010,1969,BFT,64.4
14451,6135010,1970,BFT,2.2
14452,6135010,1976,BFT,30.6
14453,6135010,1977,BFT,565.8
14454,6135010,1978,BFT,43.4
14455,6135010,1994,BFT,29.4
14456,6135010,1995,BFT,1251.0
14457,6135010,1996,BFT,1.1
14458,6135010,1997,BFT,66.08
14459,6135010,1998,BFT,123.81400000000001
14460,6135010,1999,BFT,271.8316
14461,6135010,2000,BFT,935.10956
14462,6135010,2001,BFT,335.33796
14463,6135010,2002,BFT,33.638
14464,6135010,2004,BFT,5.919
14465,6135010,2005,BFT,1421.402
14466,6135010,2006,BFT,1.608
14467,6135010,2007,BFT,738.065
14468,6135010,2008,BFT,2059.26575
14469,6135010,2009,BFT,1451.99582
14470,6135010,2010,BFT,825.2126800000001
14471,6135010,2011,BFT,149.35381999999998
14472,6135010,2012,BFT,165.72958
14473,6135010,2013,BFT,2096.24127
14474,6135010,2014,BFT,481.774
14475,6135010,2015,BFT,182.71172
14476,6135010,2016,BFT,743.78015
14477,6135010,2017,BFT,1601.86206
14478,6135010,2018,BFT,1467.02972
14479,6135010,2019,BFT,1537.96165
14480,6135010,2020,BFT,2261.098
14481,6135010,2021,BFT,1366.46
14482,6135010,2022,BFT,4030.32741
14483,6135010,2023,BFT,1892.37338
14484,6135015,1977,BFT,4891.0
14485,6135015,1991,BFT,1.9
14486,6135015,1992,BFT,0.30000000000000004
14487,6135015,1994,BFT,4.5
14488,6135015,1996,BFT,0.3
14489,6135015,1997,BFT,101.96499999999999
14490,6135015,1999,BFT,0.8490000000000001
14491,6135015,2000,BFT,10.511
14493,6135015,2001,BFT,14.932
14496,6135015,2005,BFT,0.232
14497,6135015,2007,BFT,39.999
14498,6135015,2008,BFT,120.0
14499,6135015,2009,BFT,840.8378
14500,6135015,2010,BFT,12.84655
14501,6135015,2011,BFT,18.18582
14502,6135015,2012,BFT,3.043
14503,6135015,2014,BFT,34.690999999999995
14504,6135015,2015,BFT,40.6221
14505,6135015,2017,BFT,56.91
14506,6135015,2018,BFT,159.85859
14507,6135015,2019,BFT,341.48125999999996
14508,6135015,2020,BFT,448.29262
14509,6135015,2021,BFT,147.64597
14510,6135015,2022,BFT,57382.407
14511,6135015,2023,BFT,309.11536
14512,6135020,1997,BFT,2.55
14513,6135020,1999,BFT,599.3
14514,6135020,2000,BFT,1002.079
14515,6135020,2001,BFT,1867.03
14516,6135020,2003,BFT,51.120000000000005
14517,6135020,2004,BFT,42.128
14518,6135020,2006,BFT,18.6003
14519,6135020,2007,BFT,18.899
14520,6135020,2008,BFT,86.0197
14521,6135020,2009,BFT,76.07279
14522,6135020,2010,BFT,172.15232
14523,6135020,2011,BFT,160.62285
14524,6135020,2012,BFT,134.7209
14525,6135020,2013,BFT,126.29796999999999
14526,6135020,2014,BFT,57.50006
14527,6135020,2015,BFT,89.70469
14528,6135020,2016,BFT,34.330690000000004
14529,6135020,2017,BFT,235.18845000000002
14531,6135020,2018,BFT,189.299
14532,6135020,2019,BFT,233.755
14533,6135020,2020,BFT,351.388
14534,6135020,2021,BFT,307.25
14535,6135020,2022,BFT,346.118
14536,6135020,2023,BFT,270.40500000000003
14537,6135025,1986,BFT,43.4
14538,6135025,1987,BFT,23.9
14539,6135025,2000,BFT,60.7565
14540,6135025,2005,BFT,17.0809
14541,6135025,2008,BFT,0.494
14542,6135025,2009,BFT,0.864
14543,6135025,2010,BFT,1.576
14544,6135025,2011,BFT,1.683
14545,6135025,2012,BFT,115.5
14546,6135025,2013,BFT,157.29
14547,6135025,2015,BFT,455.59
14548,6135025,2017,BFT,56.169000000000004
14549,6135025,2018,BFT,56.525
14550,6135025,2019,BFT,53.818000000000005
14551,6135025,2020,BFT,55.8672
14552,6135025,2021,BFT,32.808930000000004
14553,6135025,2022,BFT,65.59299
14554,6135025,2023,BFT,58.24339
14555,6135030,2007,BFT,918.0
14556,6135030,2008,BFT,495.25
14557,6135030,2009,BFT,127.765
14558,6135030,2010,BFT,409.497
14559,6135030,2011,BFT,532.059
14560,6135030,2012,BFT,644.5746
14561,6135030,2013,BFT,412.65977
14562,6135030,2014,BFT,555.10382
14563,6135030,2015,BFT,1339.732
14564,6135030,2016,BFT,307.384
14565,6135030,2017,BFT,1507.25223
14566,6135030,2018,BFT,1338.3899999999999
14567,6135030,2019,BFT,1767.2695800000001
14568,6135030,2020,BFT,2337.082
14569,6135030,2021,BFT,2257.16137
14570,6135030,2022,BFT,2369.34617
14571,6135030,2023,BFT,3270.665
14574,6135035,2007,BFT,4.75
14575,6135035,2008,BFT,381.88
14576,6135035,2009,BFT,537.7
14577,6135035,2012,BFT,16.92
14578,6135035,2013,BFT,408.70841
14579,6135035,2016,BFT,99.3348
14580,6135035,2017,BFT,56.906
14581,6135035,2019,BFT,71.973
14582,6135035,2020,BFT,0.12208
15677,6140000,1975,BFT,271.0
15678,6140000,1976,BFT,881.9
15679,6140000,1977,BFT,2036.8
