year,month,week,code,item,volume,origin,grade,price_high,price_mid,price_low
2004,1,1,2004011,マグロ,49.2,各地,生,27300,6009,2100
2004,1,1,2004011,マグロ,49.2,海外,生,9450,2987,1890
2004,1,1,2004011,メバチ,97.9,各地*,冷凍,4200,1095,578
2004,1,1,2004011,アジ,47.3,富山ほか,中,1470,788,210
2004,1,1,2004011,アジ,47.3,鳥取ほか,中小,840,420,315
2004,1,1,2004011,サバ,20.8,静岡ほか,−,4200,2021,420
2004,1,1,2004011,イワシ,14.1,千葉ほか,−,1470,788,315
2004,1,1,2004011,スルメイカ,36.9,福岡ほか,−,945,635,168
2004,1,1,2004011,冷ｽﾙﾒｲｶ,17.1,各地,−,315,276,263
2004,1,1,2004011,サンマ,13.0,各地,解凍,788,289,210
2004,1,1,2004011,カレイ,6.0,北海道,マ,1260,840,735
2004,1,1,2004011,カレイ,6.0,青森ほか,マコ,1365,1190,840
2004,1,1,2004011,カレイ,6.0,北海道,アカ,2100,1930,1050
2004,1,1,2004011,カレイ,6.0,北海道,浅羽,1365,1365,1050
2004,1,1,2004011,ハマチ,45.2,各地,−,840,725,630
2004,1,1,2004011,塩サケ,29.5,北海道,トキ,1890,1523,840
2004,1,1,2004011,塩サケ,29.5,北海道,アキ,315,263,210
2004,1,1,2004011,ﾏﾀﾞﾗ･塩ﾀﾗ,19.4,各地,無頭,1155,0,315
2004,1,1,2004011,ﾏﾀﾞﾗ･塩ﾀﾗ,19.4,各地,ぶわ,945,854,683
2004,1,1,2004011,カツオ,1.3,山口ほか,−,2100,1523,525
2004,1,1,2004011,キンメダイ,6.2,千葉ほか,−,1890,1015,735
2004,1,1,2004011,ムキカキ,25.5,岩手・宮城,−,2310,998,525
2004,1,1,2004011,ムキカキ,25.5,広島,−,1680,866,683
2004,1,2,2004012,マグロ,35.8,各地,生,8400,5384,2625
2004,1,2,2004012,マグロ,35.8,海外,生,5775,2387,1785
2004,1,2,2004012,メバチ,97.9,各地*,冷凍,4200,1055,630
2004,1,2,2004012,アジ,51.8,長崎ほか,中,1575,662,315
2004,1,2,2004012,アジ,51.8,富山ほか,中小,630,410,168
2004,1,2,2004012,サバ,24.7,静岡ほか,−,2625,1266,420
2004,1,2,2004012,イワシ,8.6,静岡ほか,−,1365,777,420
2004,1,2,2004012,スルメイカ,19.2,長崎ほか,−,1050,779,420
2004,1,2,2004012,冷ｽﾙﾒｲｶ,9.3,各地,−,315,276,263
2004,1,2,2004012,サンマ,11.0,各地,解凍,788,263,210
2004,1,2,2004012,カレイ,8.1,北海道,マ,1155,1063,945
2004,1,2,2004012,カレイ,8.1,青森ほか,マコ,1575,1040,630
2004,1,2,2004012,カレイ,8.1,北海道,アカ,1995,1596,1260
2004,1,2,2004012,カレイ,8.1,北海道,浅羽,1365,0,525
2004,1,2,2004012,ハマチ,53.4,各地,−,840,695,578
2004,1,2,2004012,塩サケ,26.9,北海道,トキ,1890,1523,840
2004,1,2,2004012,塩サケ,26.9,北海道,アキ,315,263,210
2004,1,2,2004012,ﾏﾀﾞﾗ･塩ﾀﾗ,27.6,各地,無頭,945,0,525
2004,1,2,2004012,ﾏﾀﾞﾗ･塩ﾀﾗ,27.6,各地,ぶわ,945,893,683
2004,1,2,2004012,カツオ,1.6,長崎ほか,−,1575,987,525
2004,1,2,2004012,キンメダイ,7.5,千葉ほか,−,2310,1134,525
2004,1,2,2004012,ムキカキ,28.6,岩手・宮城,−,1680,903,525
2004,1,2,2004012,ムキカキ,28.6,広島,−,1050,725,525
2004,1,3,2004013,マグロ,30.0,各地,生,11550,5345,2100
2004,1,3,2004013,マグロ,30.0,海外,生,7350,2605,1680
2004,1,3,2004013,メバチ,105.1,各地*,冷凍,4200,1049,630
2004,1,3,2004013,アジ,51.9,富山ほか,中,1470,567,315
2004,1,3,2004013,アジ,51.9,石川ほか,中小,630,358,162
2004,1,3,2004013,サバ,35.1,福岡ほか,−,2625,893,525
2004,1,3,2004013,イワシ,6.4,和歌山ほか,−,2415,756,525
2004,1,3,2004013,スルメイカ,38.0,福岡ほか,−,840,413,263
2004,1,3,2004013,冷ｽﾙﾒｲｶ,9.6,各地,−,315,276,263
2004,1,3,2004013,サンマ,12.9,各地,解凍,788,263,210
2004,1,3,2004013,カレイ,10.2,北海道,マ,1260,1103,735
2004,1,3,2004013,カレイ,10.2,青森ほか,マコ,1365,945,735
2004,1,3,2004013,カレイ,10.2,北海道,アカ,1890,1470,1050
2004,1,3,2004013,カレイ,10.2,北海道,浅羽,1260,0,315
2004,1,3,2004013,ハマチ,64.3,各地,−,840,681,609
2004,1,3,2004013,塩サケ,31.8,北海道,トキ,1890,1523,840
2004,1,3,2004013,塩サケ,31.8,北海道,アキ,315,263,210
2004,1,3,2004013,ﾏﾀﾞﾗ･塩ﾀﾗ,26.8,各地,無頭,1155,0,735
2004,1,3,2004013,ﾏﾀﾞﾗ･塩ﾀﾗ,26.8,各地,ぶわ,945,893,683
2004,1,3,2004013,カツオ,1.2,各地,−,1680,958,578
2004,1,3,2004013,キンメダイ,7.0,高知ほか,−,2415,1260,840
2004,1,3,2004013,ムキカキ,34.3,岩手・宮城,−,1890,1029,525
2004,1,3,2004013,ムキカキ,34.3,広島,−,1155,746,630
2004,1,4,2004014,マグロ,35.6,各地,生,26250,5193,1575
2004,1,4,2004014,マグロ,35.6,海外,生,6300,2650,1785
2004,1,4,2004014,メバチ,120.2,各地*,冷凍,4200,972,630
2004,1,4,2004014,アジ,52.0,福岡ほか,中,1470,714,420
2004,1,4,2004014,アジ,52.0,富山ほか,中小,1050,464,210
2004,1,4,2004014,サバ,34.4,福岡ほか,−,2625,872,420
2004,1,4,2004014,イワシ,9.1,静岡ほか,−,1365,861,420
2004,1,4,2004014,スルメイカ,53.8,福岡ほか,−,840,403,228
2004,1,4,2004014,冷ｽﾙﾒｲｶ,8.1,各地,−,315,276,263
2004,1,4,2004014,サンマ,14.5,各地,解凍,788,263,210
2004,1,4,2004014,カレイ,12.6,北海道,マ,1260,945,840
2004,1,4,2004014,カレイ,12.6,青森ほか,マコ,1365,1019,420
2004,1,4,2004014,カレイ,12.6,北海道,アカ,1680,1302,945
2004,1,4,2004014,カレイ,12.6,北海道,浅羽,1050,1050,315
2004,1,4,2004014,ハマチ,73.6,各地,−,840,651,609
2004,1,4,2004014,塩サケ,31.4,北海道,トキ,1890,1523,840
2004,1,4,2004014,塩サケ,31.4,北海道,アキ,315,263,210
2004,1,4,2004014,ﾏﾀﾞﾗ･塩ﾀﾗ,28.1,各地,無頭,1155,0,630
2004,1,4,2004014,ﾏﾀﾞﾗ･塩ﾀﾗ,28.1,各地,ぶわ,945,893,683
2004,1,4,2004014,カツオ,3.4,宮崎ほか,−,1470,966,420
2004,1,4,2004014,キンメダイ,7.3,静岡ほか,−,2415,1113,788
2004,1,4,2004014,ムキカキ,31.9,岩手・宮城,−,1890,861,420
2004,1,4,2004014,ムキカキ,31.9,広島,−,1155,735,630
2004,2,1,2004021,マグロ,32.0,各地,生,21000,6002,1365
2004,2,1,2004021,マグロ,32.0,海外,生,6825,2675,2100
2004,2,1,2004021,メバチ,102.6,各地*,冷凍,4200,958,630
2004,2,1,2004021,アジ,53.5,佐賀ほか,中,1365,639,315
2004,2,1,2004021,アジ,53.5,富山ほか,中小,840,324,162
2004,2,1,2004021,サバ,31.9,富山ほか,−,2415,893,420
2004,2,1,2004021,イワシ,7.0,静岡ほか,−,2625,1050,158
2004,2,1,2004021,スルメイカ,53.4,福岡ほか,−,735,392,228
2004,2,1,2004021,冷ｽﾙﾒｲｶ,9.8,各地,−,315,276,263
2004,2,1,2004021,サンマ,11.9,各地,解凍,788,246,126
2004,2,1,2004021,カレイ,11.7,北海道,マ,1050,849,420
2004,2,1,2004021,カレイ,11.7,青森ほか,マコ,1260,726,525
2004,2,1,2004021,カレイ,11.7,北海道,アカ,1785,1348,630
2004,2,1,2004021,カレイ,11.7,北海道,浅羽,1050,945,210
2004,2,1,2004021,ハマチ,60.5,各地,−,840,641,578
2004,2,1,2004021,塩サケ,26.0,北海道,トキ,1890,1523,840
2004,2,1,2004021,塩サケ,26.0,北海道,アキ,315,263,210
2004,2,1,2004021,ﾏﾀﾞﾗ･塩ﾀﾗ,22.5,各地,無頭,735,0,210
2004,2,1,2004021,ﾏﾀﾞﾗ･塩ﾀﾗ,22.5,各地,ぶわ,945,876,683
2004,2,1,2004021,カツオ,3.9,宮崎ほか,−,2100,753,315
2004,2,1,2004021,キンメダイ,8.5,千葉ほか,−,1890,1050,840
2004,2,1,2004021,ムキカキ,26.5,岩手・宮城,−,1680,665,315
2004,2,1,2004021,ムキカキ,26.5,広島,−,1050,691,578
2004,2,2,2004022,マグロ,37.8,各地,生,27300,5690,2100
2004,2,2,2004022,マグロ,37.8,海外,生,8400,2782,1050
2004,2,2,2004022,メバチ,112.0,各地*,冷凍,3675,951,630
2004,2,2,2004022,アジ,57.4,三重ほか,中,1470,882,315
2004,2,2,2004022,アジ,57.4,石川ほか,中小,945,433,210
2004,2,2,2004022,サバ,21.2,長崎ほか,−,2940,1029,315
2004,2,2,2004022,イワシ,2.5,千葉ほか,−,3150,1554,630
2004,2,2,2004022,スルメイカ,34.2,福岡ほか,−,963,613,228
2004,2,2,2004022,冷ｽﾙﾒｲｶ,9.4,各地,−,315,276,263
2004,2,2,2004022,サンマ,17.1,各地,解凍,788,252,158
2004,2,2,2004022,カレイ,7.1,北海道,マ,1575,1071,735
2004,2,2,2004022,カレイ,7.1,青森ほか,マコ,1785,809,525
2004,2,2,2004022,カレイ,7.1,北海道,アカ,1785,1449,840
2004,2,2,2004022,カレイ,7.1,北海道,浅羽,1260,1120,735
2004,2,2,2004022,ハマチ,67.8,各地,−,840,639,578
2004,2,2,2004022,塩サケ,28.7,北海道,トキ,1890,1523,840
2004,2,2,2004022,塩サケ,28.7,北海道,アキ,315,263,210
2004,2,2,2004022,ﾏﾀﾞﾗ･塩ﾀﾗ,25.8,各地,無頭,998,0,315
2004,2,2,2004022,ﾏﾀﾞﾗ･塩ﾀﾗ,25.8,各地,ぶわ,945,882,630
2004,2,2,2004022,カツオ,8.6,宮崎ほか,−,2100,525,263
2004,2,2,2004022,キンメダイ,8.3,千葉ほか,−,2310,1092,630
2004,2,2,2004022,ムキカキ,29.0,岩手・宮城,−,1365,651,315
2004,2,2,2004022,ムキカキ,29.0,広島,−,840,672,525
2004,2,3,2004023,マグロ,31.3,各地,生,24150,5661,1575
2004,2,3,2004023,マグロ,31.3,海外,生,7350,2645,1575
2004,2,3,2004023,メバチ,105.6,各地*,冷凍,5775,988,630
2004,2,3,2004023,アジ,54.4,長崎ほか,中,1260,613,315
2004,2,3,2004023,アジ,54.4,富山ほか,中小,735,308,162
2004,2,3,2004023,サバ,29.8,長崎ほか,−,2415,893,315
2004,2,3,2004023,イワシ,6.5,静岡ほか,−,3675,963,368
2004,2,3,2004023,スルメイカ,44.8,福岡ほか,−,693,467,140
2004,2,3,2004023,冷ｽﾙﾒｲｶ,23.4,各地,−,374,296,263
2004,2,3,2004023,サンマ,13.0,各地,解凍,788,253,158
2004,2,3,2004023,カレイ,5.5,北海道,マ,1260,1006,525
2004,2,3,2004023,カレイ,5.5,青森ほか,マコ,1575,998,735
