species,year,measurement_value
BET,1950,19698.0
BET,1951,16283.0
BET,1952,29512.0
BET,1953,28995.0
BET,1954,23206.0
BET,1955,35652.0
BET,1956,38837.023
BET,1957,59130.0
BET,1958,65124.0
BET,1959,62050.00004
BET,1960,71883.80001
BET,1961,109081.30002
BET,1962,105669.78005
BET,1963,137140.71998
BET,1964,102417.09109
BET,1965,100117.73203
BET,1966,93839.86013
BET,1967,100041.1121
BET,1968,93746.25615
BET,1969,125731.42392
BET,1970,118716.936
BET,1971,131866.32013
BET,1972,142653.86426
BET,1973,157778.93506
BET,1974,151109.58609
BET,1975,174419.00024
BET,1976,194550.99965
BET,1977,218205.00016
BET,1978,202730.99997
BET,1979,181402.00013
BET,1980,218050.6501
BET,1981,198210.01005
BET,1982,207953.72431000002
BET,1983,203126.63946
BET,1984,210433.64122
BET,1985,234740.25173000002
BET,1986,259134.54291000002
BET,1987,263963.59258
BET,1988,233336.69121000002
BET,1989,252539.56472
BET,1990,314426.61242
BET,1991,314057.12994
BET,1992,323301.25253
BET,1993,309398.0511
BET,1994,366621.15257
BET,1995,343400.66157
BET,1996,336951.73491
BET,1997,360615.95641
BET,1998,351494.23434
BET,1999,372091.05264
BET,2000,394668.48239
BET,2001,355386.93954
BET,2002,365616.57632
BET,2003,343914.57609
BET,2004,381790.03819
BET,2005,331315.74711
BET,2006,340226.00854
BET,2007,328630.51428
BET,2008,335751.81219
BET,2009,353957.65206
BET,2010,310709.90353
BET,2011,333697.67424
BET,2012,340518.97768
BET,2013,307426.0121
BET,2014,340322.40654
BET,2015,330350.80575
BET,2016,328964.38377
BET,2017,311918.59265
BET,2018,321812.30793999997
BET,2019,304218.8773
BET,2020,309254.01803
BET,2021,260005.69411
BET,2022,271318.04264
BET,2023,268576.47
BFT,1950,27829.3579
BFT,1951,31333.8651
BFT,1952,39700.793900000004
BFT,1953,40359.0521
BFT,1954,37979.994
BFT,1955,44636.1521
BFT,1956,30433.0206
BFT,1957,36418.5073
BFT,1958,34559.5595
BFT,1959,27983.27719
BFT,1960,27145.40796
BFT,1961,29702.51599
BFT,1962,35256.115300000005
BFT,1963,30194.79804
BFT,1964,35815.87204
BFT,1965,31262.31414
BFT,1966,23163.56361
BFT,1967,25674.05011
BFT,1968,16721.32602
BFT,1969,18036.09501
BFT,1970,16274.29481
BFT,1971,17776.29713
BFT,1972,14778.06698
BFT,1973,14883.21306
BFT,1974,24675.17091
BFT,1975,26537.38928
BFT,1976,28247.56204
BFT,1977,25675.435
BFT,1978,20879.75996
BFT,1979,18690.43397
BFT,1980,19842.85697
