year,production_type,measurement_value
1950,CAPTURE,27540.0
1950,MARINE,0.0
1951,CAPTURE,31176.0
1951,MARINE,0.0
1952,CAPTURE,69670.0
1952,MARINE,0.0
1953,CAPTURE,68385.0
1953,MARINE,0.0
1954,CAPTURE,72572.0
1954,MARINE,0.0
1955,CAPTURE,81955.0
1955,MARINE,0.0
1956,CAPTURE,88414.0
1956,MARINE,0.0
1957,CAPTURE,95515.0
1957,MARINE,0.0
1958,CAPTURE,78306.0
1958,MARINE,0.0
1959,CAPTURE,114537.0
1959,MARINE,0.0
1960,CAPTURE,131269.0
1960,MARINE,0.0
1961,CAPTURE,143116.0
1961,MARINE,0.0
1962,CAPTURE,114700.0
1962,MARINE,0.0
1963,CAPTURE,131375.0
1963,MARINE,0.0
1964,CAPTURE,115739.0
1964,MARINE,0.0
1965,CAPTURE,104851.0
1965,MARINE,0.0
1966,CAPTURE,98423.0
1966,MARINE,0.0
1967,CAPTURE,111711.0
1967,MARINE,0.0
1968,CAPTURE,95783.0
1968,MARINE,0.0
1969,CAPTURE,91948.0
1969,MARINE,0.0
1970,CAPTURE,77220.0
1970,MARINE,0.0
1971,CAPTURE,80449.0
1971,MARINE,0.0
1972,CAPTURE,86793.0
1972,MARINE,0.0
1973,CAPTURE,75756.0
1973,MARINE,0.0
1974,CAPTURE,89586.0
1974,MARINE,0.0
1975,CAPTURE,79701.0
1975,MARINE,0.0
1976,CAPTURE,90033.0
1976,MARINE,0.0
1977,CAPTURE,89775.0
1977,MARINE,0.0
1978,CAPTURE,83053.0
1978,MARINE,0.0
1979,CAPTURE,87342.0
1979,MARINE,0.0
1980,CAPTURE,87073.0
1980,MARINE,0.0
1981,CAPTURE,100149.0
1981,MARINE,0.0
1982,CAPTURE,95386.0
1982,MARINE,0.0
1983,CAPTURE,87273.0
1983,MARINE,0.0
1984,CAPTURE,75140.0
1984,MARINE,50.0
1985,CAPTURE,75908.0
1985,MARINE,38.0
1986,CAPTURE,68907.0
1986,MARINE,60.0
1987,CAPTURE,61210.0
1987,MARINE,109.0
1988,CAPTURE,57892.0
1988,MARINE,47.0
1989,CAPTURE,52215.0
1989,MARINE,237.0
1990,CAPTURE,48973.0
1990,MARINE,358.0
1991,CAPTURE,54679.0
1991,MARINE,16.0
1992,CAPTURE,60089.0
1992,MARINE,354.0
1993,CAPTURE,60387.0
1993,MARINE,655.0
1994,CAPTURE,77917.0
1994,MARINE,1275.0
1995,CAPTURE,91116.0
1995,MARINE,1942.0
1996,CAPTURE,92720.0
1996,MARINE,2090.0
1997,CAPTURE,88036.0
1997,MARINE,2122.0
1998,CAPTURE,75418.0
1998,MARINE,2073.0
1999,CAPTURE,83227.0
1999,MARINE,2128.0
2000,CAPTURE,81779.0
2000,MARINE,3591.0
2001,CAPTURE,71218.0
2001,MARINE,5663.0
2002,CAPTURE,69187.0
2002,MARINE,6408.0
2003,CAPTURE,61022.0
2003,MARINE,4786.0
2004,CAPTURE,71301.0
2004,MARINE,21328.0
2005,CAPTURE,79616.0
2005,MARINE,16453.0
2006,CAPTURE,67767.0
2006,MARINE,25907.0
2007,CAPTURE,65148.0
2007,MARINE,22963.0
2008,CAPTURE,57149.295
2008,MARINE,22330.739999999998
2009,CAPTURE,51556.0
2009,MARINE,23282.192
2010,CAPTURE,44316.849
2010,MARINE,20470.93
2011,CAPTURE,37077.917
2011,MARINE,18330.260000000002
2012,CAPTURE,35792.816
2012,MARINE,28574.44
2013,CAPTURE,36844.294
2013,MARINE,36657.33
2014,CAPTURE,42362.729
2014,MARINE,43066.11
2015,CAPTURE,42213.541
2015,MARINE,48351.341
2016,CAPTURE,47307.458
2016,MARINE,53904.368
2017,CAPTURE,54030.163
2017,MARINE,53699.304
2018,CAPTURE,57099.917
2018,MARINE,66491.796
2019,CAPTURE,59551.657
2019,MARINE,60954.424
2020,CAPTURE,66179.299
2020,MARINE,65929.561
2021,CAPTURE,72119.614
2021,MARINE,61666.271
2022,CAPTURE,72976.242
2022,MARINE,72078.533
